,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"M[59,16]",0.023,0.303,-0.455,0.491,0.004,0.003,5969.0,5979.0,1.0
"M[59,17]",0.197,0.283,-0.253,0.654,0.004,0.003,6022.0,5857.0,1.0
"M[59,18]",0.071,0.267,-0.36,0.484,0.004,0.003,5670.0,6134.0,1.0
"M[59,19]",0.049,0.313,-0.438,0.546,0.004,0.003,5900.0,5835.0,1.0
"M[59,20]",0.156,0.309,-0.34,0.636,0.004,0.003,6486.0,6177.0,1.0
"M[59,21]",0.021,0.277,-0.411,0.471,0.004,0.003,5940.0,6311.0,1.0
"M[59,22]",-0.09,0.291,-0.559,0.364,0.004,0.003,6058.0,6687.0,1.0
"M[59,23]",-0.166,0.31,-0.638,0.317,0.004,0.003,6298.0,5839.0,1.0
"M[59,24]",-0.063,0.306,-0.564,0.401,0.004,0.003,5375.0,5987.0,1.0
"M[59,25]",-0.011,0.293,-0.465,0.468,0.004,0.003,5943.0,6196.0,1.0
"M[59,26]",0.256,0.321,-0.255,0.744,0.004,0.003,6538.0,6169.0,1.0
"M[59,27]",-0.042,0.281,-0.482,0.401,0.004,0.003,5753.0,6459.0,1.0
"M[59,28]",0.088,0.291,-0.398,0.531,0.004,0.003,5332.0,5998.0,1.0
"M[59,29]",-0.098,0.367,-0.654,0.501,0.005,0.004,4802.0,5712.0,1.0
"M[59,30]",-0.077,0.334,-0.611,0.446,0.005,0.003,5061.0,6023.0,1.0
"M[59,31]",-0.03,0.33,-0.562,0.469,0.005,0.003,4757.0,6254.0,1.0
"M[59,32]",0.061,0.393,-0.547,0.702,0.006,0.004,4942.0,6009.0,1.0
"M[59,33]",0.457,0.381,-0.115,1.095,0.006,0.004,4563.0,6139.0,1.0
"M[59,34]",-0.133,0.313,-0.645,0.341,0.004,0.003,5264.0,6218.0,1.0
"M[59,35]",-0.057,0.278,-0.493,0.388,0.004,0.003,4554.0,5970.0,1.0
"M[59,36]",-0.109,0.274,-0.556,0.311,0.004,0.003,5567.0,5776.0,1.0
"M[59,37]",-0.054,0.319,-0.552,0.47,0.005,0.003,4588.0,5818.0,1.0
"M[59,38]",0.197,0.317,-0.325,0.675,0.004,0.003,5213.0,5997.0,1.0
"M[59,39]",-0.282,0.313,-0.764,0.219,0.004,0.003,4904.0,6344.0,1.0
"M[59,40]",-0.242,0.381,-0.86,0.318,0.006,0.004,4736.0,5309.0,1.0
"M[59,41]",0.095,0.32,-0.381,0.631,0.004,0.003,5226.0,6034.0,1.0
"M[59,42]",-0.084,0.308,-0.578,0.379,0.004,0.003,4729.0,5714.0,1.0
"M[59,43]",0.122,0.303,-0.353,0.587,0.004,0.003,6135.0,5786.0,1.0
"M[60,0]",0.008,0.264,-0.432,0.404,0.003,0.002,5685.0,6510.0,1.0
"M[60,1]",-0.086,0.271,-0.499,0.366,0.003,0.002,6592.0,6313.0,1.0
"M[60,2]",0.118,0.307,-0.383,0.595,0.004,0.003,6100.0,6424.0,1.0
"M[60,3]",-0.284,0.31,-0.794,0.181,0.004,0.003,5480.0,6571.0,1.0
"M[60,4]",0.139,0.327,-0.367,0.66,0.004,0.003,6729.0,6433.0,1.0
"M[60,5]",-0.217,0.307,-0.69,0.266,0.004,0.003,5373.0,6154.0,1.0
"M[60,6]",-0.189,0.279,-0.613,0.271,0.004,0.003,5914.0,6522.0,1.0
"M[60,7]",0.057,0.296,-0.395,0.537,0.004,0.003,6557.0,6280.0,1.0
"M[60,8]",-0.08,0.285,-0.526,0.374,0.003,0.003,6696.0,6361.0,1.0
"M[60,9]",0.158,0.29,-0.31,0.601,0.004,0.003,6126.0,6379.0,1.0
"M[60,10]",0.247,0.312,-0.239,0.756,0.004,0.003,6401.0,6152.0,1.0
"M[60,11]",-0.078,0.295,-0.531,0.41,0.004,0.003,5938.0,6430.0,1.0
"M[60,12]",-0.052,0.312,-0.556,0.435,0.004,0.003,5818.0,6001.0,1.0
"M[60,13]",-0.165,0.284,-0.614,0.268,0.004,0.003,5468.0,5952.0,1.0
"M[60,14]",-0.066,0.287,-0.488,0.42,0.004,0.003,5932.0,5855.0,1.0
"M[60,15]",0.209,0.332,-0.312,0.724,0.004,0.003,6418.0,6332.0,1.0
"M[60,16]",-0.003,0.302,-0.495,0.464,0.004,0.003,5570.0,5995.0,1.0
"M[60,17]",0.163,0.288,-0.29,0.616,0.004,0.003,6302.0,5948.0,1.0
"M[60,18]",0.035,0.271,-0.388,0.456,0.004,0.003,5070.0,5765.0,1.0
